Date,Close,High,Low,Open,Volume
2010-05-19,9452.0302734375,9452.0302734375,9452.0302734375,9452.0302734375,0
2010-05-20,9084.3603515625,9084.3603515625,9084.3603515625,9084.3603515625,0
2010-05-21,9220.83984375,9220.83984375,9220.83984375,9220.83984375,0
2010-05-24,9101.8203125,9101.8203125,9101.8203125,9101.8203125,0
2010-05-25,9104.98046875,9104.98046875,9104.98046875,9104.98046875,0
2010-05-26,9054.900390625,9054.900390625,9054.900390625,9054.900390625,0
2010-05-27,9355.25,9355.25,9355.25,9355.25,0
2010-05-28,9239.759765625,9239.759765625,9239.759765625,9239.759765625,0
2010-06-01,9081.41015625,9081.41015625,9081.41015625,9081.41015625,0
2010-06-02,9317.1298828125,9317.1298828125,9317.1298828125,9317.1298828125,0
2010-06-03,9355.150390625,9355.150390625,9355.150390625,9355.150390625,0
2010-06-04,9033.6904296875,9033.6904296875,9033.6904296875,9033.6904296875,0
2010-06-07,8911.8603515625,8911.8603515625,8911.8603515625,8911.8603515625,0
2010-06-08,9010.6396484375,9010.6396484375,9010.6396484375,9010.6396484375,0
2010-06-09,8957.2001953125,8957.2001953125,8957.2001953125,8957.2001953125,0
2010-06-10,9221.73046875,9221.73046875,9221.73046875,9221.73046875,0
2010-06-11,9264.9501953125,9264.9501953125,9264.9501953125,9264.9501953125,0
2010-06-14,9248.240234375,9248.240234375,9248.240234375,9248.240234375,0
2010-06-15,9465.2001953125,9465.2001953125,9465.2001953125,9465.2001953125,0
2010-06-16,9460.0595703125,9460.0595703125,9460.0595703125,9460.0595703125,0
2010-06-17,9473.259765625,9473.259765625,9473.259765625,9473.259765625,0
2010-06-18,9485.7001953125,9485.7001953125,9485.7001953125,9485.7001953125,0
2010-06-21,9449.0400390625,9449.0400390625,9449.0400390625,9449.0400390625,0
2010-06-22,9298.2900390625,9298.2900390625,9298.2900390625,9298.2900390625,0
2010-06-23,9270.6796875,9270.6796875,9270.6796875,9270.6796875,0
2010-06-24,9114.9697265625,9114.9697265625,9114.9697265625,9114.9697265625,0
2010-06-25,9140.9599609375,9140.9599609375,9140.9599609375,9140.9599609375,0
2010-06-28,9123.7099609375,9123.7099609375,9123.7099609375,9123.7099609375,0
2010-06-29,8841.2197265625,8841.2197265625,8841.2197265625,8841.2197265625,0
2010-06-30,8752.6904296875,8752.6904296875,8752.6904296875,8752.6904296875,0
2010-07-01,8724.830078125,8724.830078125,8724.830078125,8724.830078125,0
2010-07-02,8684.41015625,8684.41015625,8684.41015625,8684.41015625,0
2010-07-06,8730.740234375,8730.740234375,8730.740234375,8730.740234375,0
2010-07-07,9007.669921875,9007.669921875,9007.669921875,9007.669921875,0
2010-07-08,9092.6103515625,9092.6103515625,9092.6103515625,9092.6103515625,0
2010-07-09,9157.7998046875,9157.7998046875,9157.7998046875,9157.7998046875,0
2010-07-12,9164.7900390625,9164.7900390625,9164.7900390625,9164.7900390625,0
2010-07-13,9306.1904296875,9306.1904296875,9306.1904296875,9306.1904296875,0
2010-07-14,9304.8896484375,9304.8896484375,9304.8896484375,9304.8896484375,0
2010-07-15,9315.9599609375,9315.9599609375,9315.9599609375,9315.9599609375,0
2010-07-16,9047.7998046875,9047.7998046875,9047.7998046875,9047.7998046875,0
2010-07-19,9102.0595703125,9102.0595703125,9102.0595703125,9102.0595703125,0
2010-07-20,9205.2998046875,9205.2998046875,9205.2998046875,9205.2998046875,0
2010-07-21,9088.5498046875,9088.5498046875,9088.5498046875,9088.5498046875,0
2010-07-22,9293.169921875,9293.169921875,9293.169921875,9293.169921875,0
2010-07-23,9369.51953125,9369.51953125,9369.51953125,9369.51953125,0
2010-07-26,9474.2802734375,9474.2802734375,9474.2802734375,9474.2802734375,0
2010-07-27,9464.2099609375,9464.2099609375,9464.2099609375,9464.2099609375,0
2010-07-28,9399.2099609375,9399.2099609375,9399.2099609375,9399.2099609375,0
2010-07-29,9361.3203125,9361.3203125,9361.3203125,9361.3203125,0
2010-07-30,9361.7900390625,9361.7900390625,9361.7900390625,9361.7900390625,0
2010-08-02,9567.75,9567.75,9567.75,9567.75,0
2010-08-03,9521.919921875,9521.919921875,9521.919921875,9521.919921875,0
2010-08-04,9582.1298828125,9582.1298828125,9582.1298828125,9582.1298828125,0
2010-08-05,9570.3798828125,9570.3798828125,9570.3798828125,9570.3798828125,0
2010-08-06,9535.8603515625,9535.8603515625,9535.8603515625,9535.8603515625,0
2010-08-09,9587.9599609375,9587.9599609375,9587.9599609375,9587.9599609375,0
2010-08-10,9530.8798828125,9530.8798828125,9530.8798828125,9530.8798828125,0
2010-08-11,9266.9697265625,9266.9697265625,9266.9697265625,9266.9697265625,0
2010-08-12,9218.2900390625,9218.2900390625,9218.2900390625,9218.2900390625,0
2010-08-13,9181.419921875,9181.419921875,9181.419921875,9181.419921875,0
2010-08-16,9182.76953125,9182.76953125,9182.76953125,9182.76953125,0
2010-08-17,9296.7001953125,9296.7001953125,9296.7001953125,9296.7001953125,0
