Date,Close,High,Low,Open,Volume
2018-01-02,2253.0,2281.5,2249.0,2281.5,2318701
2018-01-03,2293.75,2295.5,2265.5,2265.5,59042
2018-01-04,2301.25,2302.0,2290.0,2294.0,49216
2018-01-05,2314.5,2314.0,2300.5,2300.5,161732
2018-01-08,2315.25,2322.5,2312.0,2317.0,105615
2018-01-09,2320.5,2325.5,2314.5,2319.0,117567
2018-01-10,2304.0,2317.5,2299.5,2312.0,53042
2018-01-11,2305.75,2316.0,2305.0,2308.5,105262
2018-01-12,2311.25,2319.5,2296.0,2319.5,1589172
2018-01-15,2288.75,2297.0,2287.0,2294.0,53926
2018-01-16,2310.75,2319.5,2305.0,2305.5,315466
2018-01-17,2305.5,2309.5,2302.5,2304.0,360629
2018-01-18,2298.75,2308.0,2301.0,2306.5,211348
2018-01-19,2321.5,2321.5,2306.0,2306.0,44474
2018-01-22,2314.5,2323.0,2311.0,2321.0,1407202
2018-01-23,2328.75,2335.0,2317.5,2328.5,158911
2018-01-24,2300.5,2319.0,2300.5,2319.0,79499
2018-01-25,2312.75,2313.5,2297.5,2301.5,108230
2018-01-26,2344.0,2344.0,2312.5,2324.5,201281
2018-01-29,2340.75,2342.5,2328.5,2342.5,166473
2018-01-30,2290.25,2321.5,2283.5,2318.5,123625
2018-01-31,2293.25,2317.0,2295.0,2299.0,126181
2018-02-01,2268.25,2289.0,2273.0,2289.0,311516
2018-02-02,2244.5,2263.0,2233.0,2262.5,3967302
2018-02-05,2241.25,2254.0,2224.0,2224.0,231770
2018-02-06,2208.25,2232.0,2163.5,2169.0,279711
2018-02-07,2231.0,2233.5,2190.0,2190.0,786383
2018-02-08,2142.75,2200.0,2146.5,2192.0,188182
2018-02-09,2137.25,2167.0,2129.5,2129.5,1128819
2018-02-12,2184.5,2197.0,2172.5,2174.0,702494
2018-02-13,2187.5,2196.5,2173.5,2188.5,530632
2018-02-14,2212.75,2223.0,2188.0,2216.0,74890
2018-02-15,2246.25,2261.5,2234.5,2238.0,76138
2018-02-16,2266.0,2268.5,2253.0,2264.0,71762
2018-02-19,2244.75,2256.0,2242.0,2243.0,150451
2018-02-20,2232.75,2234.0,2213.0,2229.5,185343
2018-02-21,2266.75,2266.0,2247.0,2252.0,45682
2018-02-22,2259.75,2262.0,2239.5,2241.0,111267
2018-02-23,2262.0,2267.5,2252.0,2267.5,95800
2018-02-26,2284.0,2284.5,2268.0,2269.0,141274
2018-02-27,2257.25,2279.0,2261.0,2266.5,887786
2018-02-28,2253.0,2262.0,2237.5,2237.5,275681
2018-03-01,2259.75,2269.0,2245.0,2264.0,265564
2018-03-02,2213.75,2243.0,2200.0,2239.0,596778
2018-03-05,2226.25,2227.5,2209.5,2209.5,97564
2018-03-06,2241.0,2258.0,2238.0,2251.5,106454
2018-03-07,2232.75,2238.5,2217.5,2226.0,2325047
2018-03-08,2253.5,2255.5,2241.5,2243.0,69317
2018-03-09,2281.0,2282.0,2255.5,2265.0,69493
2018-03-12,2290.0,2301.0,2282.0,2296.5,139564
2018-03-13,2266.5,2299.0,2266.5,2295.0,180376
2018-03-14,2263.75,2280.5,2261.5,2275.5,104285
2018-03-15,2271.25,2282.5,2262.5,2280.0,77011
2018-03-16,2266.0,2271.5,2257.0,2265.0,396729
2018-03-19,2219.0,2258.5,2216.0,2257.0,66940
2018-03-20,2253.0,2253.0,2232.0,2239.0,75116
2018-03-21,2241.25,2243.5,2228.5,2243.5,68933
2018-03-22,2192.25,2216.5,2177.5,2215.0,235303
2018-03-23,2153.5,2172.0,2148.5,2166.5,162126
2018-03-25,2150.5,2177.0,2150.5,2170.5,135814
2018-03-26,2187.75,2205.0,2185.5,2188.0,154336
2018-03-27,2147.75,2160.5,2137.0,2157.0,691219
2018-03-28,2191.5,2196.0,2166.5,2172.5,79861
2018-04-02,2177.0,2188.0,2171.5,2184.5,133260
2018-04-03,2155.5,2157.0,2116.5,2155.0,122115
2018-04-04,2207.75,2209.0,2187.0,2190.0,117881
2018-04-05,2156.5,2178.0,2154.5,2174.5,108905
2018-04-08,2158.5,2171.5,2142.0,2164.5,103106
2018-04-09,2168.25,2169.5,2160.0,2162.5,58102
2018-04-10,2167.25,2168.0,2152.5,2159.5,114239
2018-04-11,2166.75,2173.0,2155.0,2155.0,50525
2018-04-12,2147.0,2162.5,2144.0,2156.0,47373
2018-04-15,2129.0,2137.0,2127.0,2137.0,75503
2018-04-16,2146.25,2147.0,2113.5,2119.0,72507
2018-04-17,2171.0,2171.0,2139.5,2139.5,338477
2018-04-18,2168.5,2189.0,2164.0,2185.0,1425363
2018-04-19,2162.5,2181.5,2161.5,2180.5,88562
2018-04-22,2177.0,2178.0,2160.5,2170.0,189999
2018-04-23,2167.75,2184.5,2165.5,2174.0,92780
2018-04-24,2130.0,2143.0,2124.0,2143.0,58356
2018-04-25,2155.5,2160.0,2141.0,2142.0,46519
2018-04-26,2199.0,2207.5,2185.5,2185.5,54347
2018-04-29,2210.0,2223.5,2209.0,2217.5,53124
2018-04-30,2189.5,2202.0,2183.5,2195.0,164512
2018-05-01,2207.0,2220.0,2202.0,2219.0,161556
2018-05-02,2165.5,2205.5,2169.0,2201.0,47423
2018-05-03,2202.5,2200.0,2179.5,2184.0,53755
2018-05-07,2196.0,2209.0,2187.0,2202.0,36669
2018-05-08,2193.0,2217.0,2194.5,2207.0,90202
2018-05-09,2254.5,2259.0,2208.0,2217.5,65393
2018-05-10,2245.75,2253.5,2245.0,2248.5,109291
2018-05-13,2248.5,2252.0,2245.0,2245.0,44907
2018-05-14,2210.0,2233.5,2206.0,2233.5,142007
2018-05-15,2235.5,2241.0,2218.0,2222.5,67683
2018-05-16,2220.5,2228.0,2215.5,2222.0,34834
2018-05-17,2195.5,2221.5,2199.0,2221.5,52973
2018-05-20,2215.25,2226.0,2216.0,2217.5,97324
2018-05-21,2232.75,2232.5,2218.0,2218.0,28440
2018-05-22,2221.0,2221.5,2208.0,2216.0,94452
2018-05-23,2206.25,2225.5,2196.5,2223.0,113719
2018-05-24,2240.5,2240.5,2224.0,2227.5,71958
2018-05-28,2213.25,2221.5,2208.5,2220.5,76957
2018-05-29,2203.5,2203.5,2187.5,2194.0,117551
2018-05-30,2204.5,2216.0,2202.5,2213.5,195783
2018-05-31,2224.75,2233.0,2220.5,2226.0,58719
2018-06-03,2256.0,2258.0,2241.0,2242.0,138427
2018-06-04,2237.25,2255.0,2237.0,2254.5,126294
2018-06-05,2243.0,2247.5,2236.0,2243.0,42877
2018-06-06,2230.5,2256.5,2230.5,2247.0,59795
2018-06-07,2215.0,2216.5,2196.0,2210.0,42302
2018-06-10,2226.25,2234.0,2222.5,2227.5,77046
2018-06-11,2221.5,2236.0,2219.0,2236.0,83437
2018-06-12,2222.75,2232.0,2216.5,2230.0,104377
2018-06-13,2211.75,2219.0,2190.0,2193.0,48697
2018-06-14,2176.5,2210.5,2176.5,2210.5,35930
2018-06-17,2160.0,2185.5,2154.0,2182.0,68741
2018-06-18,2151.0,2152.5,2131.0,2131.0,176223
2018-06-19,2167.0,2178.0,2165.5,2176.5,91418
2018-06-20,2128.0,2161.5,2126.0,2161.5,44399
2018-06-21,2141.25,2146.5,2138.0,2141.5,146066
2018-06-24,2103.75,2132.0,2104.5,2131.0,48861
2018-06-25,2107.0,2122.5,2107.0,2122.5,99242
2018-06-26,2105.0,2119.0,2086.5,2102.5,44539
2018-06-27,2093.5,2098.5,2081.0,2098.5,193243
2018-06-28,2125.0,2138.5,2120.0,2138.0,32148
2018-07-01,2102.75,2105.0,2089.0,2093.0,56167
2018-07-02,2113.0,2116.0,2103.0,2103.0,57077
2018-07-03,2091.0,2101.5,2089.5,2095.5,125175
2018-07-04,2090.5,2102.0,2084.0,2091.0,39484
2018-07-05,2112.0,2112.0,2086.5,2096.5,124025
2018-07-08,2144.0,2145.0,2121.0,2127.5,52558
2018-07-09,2134.0,2144.0,2130.5,2139.0,103722
2018-07-10,2112.5,2118.5,2099.5,2106.0,251223
2018-07-11,2137.0,2139.0,2124.5,2136.5,63067
2018-07-12,2144.0,2153.5,2137.5,2153.5,137736
2018-07-15,2124.0,2134.280029296875,2117.0,2128.5,34901
2018-07-16,2145.5,2145.5,2115.5,2119.5,57603
2018-07-17,2158.25,2162.5,2148.5,2148.5,45904
2018-07-18,2147.75,2151.0,2137.5,2149.0,82273
2018-07-19,2163.25,2179.5,2152.0,2179.5,45982
2018-07-22,2146.75,2151.0,2141.5,2151.0,67076
2018-07-23,2179.0,2181.0,2162.0,2162.0,189989
2018-07-24,2185.0,2186.5,2171.5,2172.0,66186
2018-07-25,2192.5,2192.5,2175.0,2178.0,53074
2018-07-26,2203.5,2209.5,2199.0,2202.5,268947
2018-07-29,2190.75,2201.5,2190.5,2192.5,76570
2018-07-30,2195.5,2197.5,2176.5,2184.0,636637
2018-07-31,2191.5,2197.5,2179.5,2186.5,487590
2018-08-01,2163.25,2164.5,2136.5,2160.0,494074
2018-08-02,2193.25,2195.5,2169.5,2169.5,91206
2018-08-05,2190.5,2197.5,2183.0,2185.0,79305
2018-08-06,2216.75,2220.0,2200.0,2200.0,88898
2018-08-07,2218.0,2226.5,2212.0,2215.0,88438
2018-08-08,2223.5,2225.0,2217.0,2221.0,785963
2018-08-09,2186.0,2209.0,2180.5,2202.5,58644
2018-08-12,2154.75,2166.5,2147.5,2158.0,161287
2018-08-13,2162.75,2165.0,2155.5,2159.5,65292
2018-08-14,2104.0,2142.5,2099.5,2140.0,134341
2018-08-15,2139.0,2140.0,2122.0,2130.5,77564
2018-08-16,2120.25,2133.5,2112.5,2133.5,160894
2018-08-19,2140.75,2152.0,2135.5,2150.5,73699
2018-08-20,2156.0,2158.5,2150.5,2151.0,969224
2018-08-21,2158.75,2158.5,2146.0,2148.0,57585
2018-08-22,2154.25,2169.5,2153.0,2157.5,86154
2018-08-23,2173.5,2176.5,2154.5,2156.5,52748
2018-08-27,2200.5,2205.0,2192.0,2192.0,99839
2018-08-28,2183.25,2209.5,2177.5,2209.5,115130
2018-08-29,2139.25,2171.5,2146.0,2171.5,101860
2018-08-30,2138.5,2156.5,2132.0,2137.5,194265
2018-09-02,2156.25,2163.0,2154.0,2154.5,62916
2018-09-03,2136.5,2163.5,2131.5,2163.5,218489
2018-09-04,2092.0,2113.0,2078.5,2110.0,196496
2018-09-05,2084.0,2100.5,2079.5,2083.5,80109
2018-09-06,2088.5,2096.0,2076.5,2090.5,113202
2018-09-09,2051.0,2082.5,2049.0,2075.5,115639
2018-09-10,2043.5,2044.5,2025.5,2042.5,259568
2018-09-11,2062.5,2066.5,2036.0,2040.5,143390
2018-09-12,2069.75,2082.5,2066.0,2066.0,120190
2018-09-13,2088.5,2090.0,2079.5,2084.0,191708
2018-09-16,2055.75,2069.0,2050.0,2069.0,104026
2018-09-17,2067.5,2068.5,2056.0,2063.0,200607
2018-09-18,2091.25,2092.0,2069.0,2075.0,127501
2018-09-19,2088.5,2089.5,2079.5,2086.5,364980
