Date,Close,High,Low,Open,Volume
2026-07-17,7714.0,8020.0,7686.0,7950.0,36002
2026-07-20,7976.0,8002.0,7700.0,7792.0,36069
2026-07-21,7736.0,8000.0,7690.0,7906.0,22758
2026-07-22,7464.0,7600.0,7342.0,7536.0,39688
2026-07-23,7472.0,7562.0,7406.0,7562.0,19972
2026-07-24,7598.0,7694.0,7486.0,7494.0,30612
2026-07-27,8088.0,8156.0,7684.0,7714.0,55835
2026-07-28,8254.0,8254.0,8003.865234375,8138.0,71751
2026-07-29,8212.0,8298.0,8088.0,8298.0,41465
2026-07-30,7588.0,8296.0,7524.0,8166.0,116638
2026-07-31,7588.0,7718.0,7536.0,7536.0,78145
