Date,Close,High,Low,Open,Volume
2018-01-02,1901.0,1907.0,1900.5,1901.5,61831
2018-01-03,1915.0,1917.0,1901.5,1902.0,75651
2018-01-04,1915.0,1914.5,1904.0,1907.0,86721
2018-01-05,1913.5,1915.0,1908.0,1913.0,35080
2018-01-08,1909.0,1917.5,1909.0,1911.0,70881
2018-01-09,1908.5,1913.5,1905.5,1912.5,1105023
2018-01-10,1918.0,1922.5,1912.0,1913.0,209986
2018-01-11,1918.5,1926.5,1918.5,1922.0,71812
2018-01-12,1912.5,1928.0,1907.0,1928.0,108503
2018-01-15,1910.25,1919.5,1909.0,1917.0,100654
2018-01-16,1905.75,1909.5,1902.0,1909.5,78136
2018-01-17,1898.75,1908.0,1898.5,1907.5,112540
2018-01-18,1883.0,1890.0,1882.5,1888.5,93376
2018-01-19,1894.25,1894.0,1886.5,1888.0,99236
2018-01-22,1878.5,1887.0,1878.5,1885.0,84942
2018-01-23,1881.5,1889.5,1874.5,1883.0,129309
2018-01-24,1871.0,1884.5,1870.0,1883.5,114510
2018-01-25,1874.5,1878.0,1866.5,1878.0,68591
2018-01-26,1880.0,1880.5,1865.5,1871.0,79311
2018-01-29,1875.5,1881.5,1873.5,1875.5,188004
2018-01-30,1867.0,1878.5,1865.0,1878.5,164718
2018-01-31,1858.0,1868.5,1855.0,1861.5,164589
2018-02-01,1853.75,1858.5,1847.5,1853.5,392835
2018-02-02,1850.5,1863.0,1851.0,1860.5,122478
2018-02-05,1874.0,1875.5,1856.0,1859.0,226160
2018-02-06,1878.0,1898.0,1875.0,1886.0,480523
2018-02-07,1869.5,1881.0,1869.0,1875.5,204558
2018-02-08,1859.25,1860.0,1840.0,1858.5,391749
2018-02-09,1872.5,1876.5,1849.0,1853.0,269546
2018-02-12,1885.0,1885.5,1871.0,1879.5,169014
2018-02-13,1878.5,1885.5,1874.0,1884.0,137200
2018-02-14,1896.5,1903.0,1882.0,1885.0,318500
2018-02-15,1888.75,1899.0,1886.0,1895.5,134015
2018-02-16,1895.5,1901.0,1891.5,1891.5,214264
2018-02-19,1892.25,1896.5,1889.0,1892.0,114479
2018-02-20,1870.5,1887.0,1876.5,1887.0,89528
2018-02-21,1873.5,1878.5,1865.0,1865.0,121982
